,,,,,
Tabela com Modelos e Prompts utilizados para gerações,,,,,
Modelo,Prompt,Resultado,Personagen/Objeto,Observação,
Flow Studio Nano Banana,"I need you to create 8 separate images of the pirate walking to the left, so that I can then animate them in the Unity Engine. The frames should be connected to each other, following a clear animation order. Left leg movement in the first 4 frames, then right leg movement in the next 4 frames.",https://drive.google.com/file/d/1ZchAND_JiV3aLtEIThh0Y34egL9ycber/view?usp=drive_link,Sprite Sheet PinkBob andando,,
Flow Studio Nano Banana,"Generate a high-quality sprite sheet containing 6 horizontal frames of the same character performing a continuous animation of raising their hand, picking up a glass, and bringing it to their mouth to take a sip. Mandatory requirements: All frames must represent the same character, with identical appearance, clothing, and proportions. The animation must be fluid, with natural transitions between frames. The character must start the movement already in action (not completely still). Each frame must be clearly separated and aligned on a single horizontal line. The background must be transparent or a uniform solid color. Animation Structure (Required): Frames 1, 2, and 3 represent the reaching and catching phase of the cup: Frame 1: Hand beginning to rise towards the cup (initial pose of the cycle) Frame 2: Hand near the cup Frame 3: Hand holding the cup Frames 4, 5, and 6 represent the phase of bringing the cup to the mouth to drink: Frame 4: Cup beginning to rise towards the mouth Frame 5: Cup near the mouth Frame 6: Cup touching the mouth, final position of the sip Perfect Loop (Required): Frame 1 and Frame 6 must have exactly the same pose and body state, allowing continuous repetition of the animation without jumps. The movement should appear as a continuous cycle: After drinking, the character naturally returns to the initial pose to restart the gesture. Proportions and Framing: Entire body visible in all frames. The cup is always visible after being picked up. No cuts in the character or the cup between frames. Consistency: Consistent lighting, colors, and camera angle in all frames. No changes in zoom, rotation, or perspective. Final objective: Create a 2D game animation sprite sheet showing a character raising their hand, picking up a cup, and drinking, with fluid movement and a perfect loop.

",https://drive.google.com/file/d/1fw6wF1xAHDyoSktHvlX5j8olaV9V4wb0/view?usp=drive_link,Sprite Sheet João tomando algo em uma taça,Pedi ao GPT para gerar um prompt do personagem tomando algo em uma taça,
Flow Studio Nano Banana,,https://drive.google.com/file/d/1spcCZX77Q7Fx7Pytvr2gnTm6OdLizbsv/view?usp=drive_link,Taça do João,,
Flow Studio Nano Banana,"Seguindo o estilo visual dessa imagem como referência, crie uma sprite sheet de um bolo de aniversário com as velinhas acesas. Este bolo está em um fundo totalmente branco, e cada imagem no sprite sheet deve conter a animação da chama nas velinhas do bolo.",https://drive.google.com/file/d/1hDyWrfOHrrt0LdOgO01P-cGXQMOOnyxI/view?usp=drive_link,Bolo de aniversário,Usei a imagem do centro da cidade gerada pelo flow studio como base,
Flow Studio Nano Banana,"A 2D character animation sprite sheet rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures, typical of high-quality 2D adventure game assets.

The Character (João): The subject is João, a short, extremely portly, and wealthy noble. He wears a towering, powdered white wig that adds significantly to his height. He is dressed in a lavish deep blue velvet frock coat with ornate gold embroidery, a cream-colored waistcoat strained against his large belly, knee breeches, and buckled shoes. He wears a monocle over his left eye and holds a rolled parchment scroll tightly in his left hand (as if guarding a secret). His expression is haughty but slightly nervous.

The Animation Sequence (Paranoid Idle): The sheet displays a frame-by-frame loop of his ""Idle"" state, arranged in a grid on a transparent background.

Base Pose: João stands facing forward, his chest and belly rising and falling rhythmically with heavy breathing.

Look Left: He turns his head sharply to the left, his large wig swaying slightly with the momentum. His eyes narrow suspiciously.

Hold: He pauses, scanning the area.

Look Right: He turns his head to the far right, the monocle catching a brief glint of light. He clutches the parchment scroll in his hand slightly tighter, pulling it closer to his chest.

Return: He returns to the center facing position, adjusting his posture with a small, pompous huff.

The animation emphasizes the weight of his body and the ""bouncy"" physics of his large wig, maintaining the humorous, cartoonish aesthetic of the game.",https://drive.google.com/file/d/1ktaFHBr7GE5WEMCwdz0M9YU3294tcrOz/view?usp=drive_link,João em estado idle,"Pedi ao gemini para fazer o prompt: Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para o sprite sheet da animação idle do joão, no estado idle ele deve olhar para um lado e para o outro, como se estivesse procurando algo.",
Flow Studio Nano Banana,"High-quality sprite sheet, 3 horizontal frames, same character. Front-facing view with body in a fixed, locked standing position. Frame 1: Head turned 45 degrees left. Frame 2: Head facing front. Frame 3: Head turned 45 degrees right. The torso, arms, and legs must remain perfectly still and identical across all frames. Only the head rotates on the neck axis. Subtle rhythmic chest expansion to indicate breathing. Character must wear a monocle in all frames. Clean consistent art style, neutral background.",https://drive.google.com/file/d/1cJneLuFTOi1O4RBjQGHRQ0bbYvMOt7Jj/view?usp=drive_link,João em estado idle,"Melhore esse prompt para que a IA entenda que o corpo deve ficar parado e apenas a cabeça se movimentar:

Generate a high-quality sprite sheet containing 3 horizontal frames of the same character with the body standing still towards the camera, first looking to the left only moving his head to the left, second looking to the front, third looking to the right. He is breathing. Don't forget his monocle!",
Flow Studio Nano Banana,"Regenerate this image, as the main title scene for my game, in a big continuous landscape image. It needs a letterbox in the top, bellow the moon saying the name of the game in portuguese ""PinkBob J. e o Enigma do Rum"".",https://drive.google.com/file/d/14RXR_grzyNp31H9gr4rP1PdBWOywfN12/view?usp=drive_link,Capa do jogo,Usei imagem gerada com base no story spine como base,
Flow Studio Nano Banana,"1. Top-Left: Porto Ressaca (Hangover Port): An irregularly shaped, large landmass dominating the northwest. It features a sandy coastline (""Praia"") and a dense cluster of ramshackle, colorful pirate buildings representing the ""Vila"" and the main port area. Tiny icons represent specific landmarks: a small ""Hotel"" building, a stylized ""Theater"" mask icon, and a busy dock area. It looks lived-in and chaotic.

2. Top-Right: The Isle of Stories (Ilha das Histórias): A distinctive, crescent-moon-shaped island. It appears more manicured and expensive. A single, large, opulent mansion (""Mansão"") sits at the center of the crescent curve. Near the southern tip of the crescent, a tiny, docked pink ship icon represents the ""Pérola Rosa.""

3. Bottom-Left: Green Wood Island (Ilha Madeira Verde): A large, oval-shaped island covered in dense, dark green jungle and bamboo forests. It looks wild and dangerous. Distinct landmarks poke out from the canopy: a shattered hull of a ship (""Naufrágio"") on the northern shore, a glass-domed ""Estufa"" (Greenhouse) near the west, and crumbling stone ""Ruínas"" (Ruins) to the east.

4. Top-Center/Floating: The Cloud Kingdom (Reino das Nuvens): Floating magically above the sea between the islands is a massive, fluffy cumulus cloud formation. Resting atop the clouds is a whimsical, blocky giant's castle. A thick, twisting green beanstalk stem is visible hanging down from the cloud, suggesting a connection to the world below.

Decorative Map Elements: To complete the aesthetic, a decorative compass rose is painted in the corner, and a stylized sea monster tentacle breaks the water surface in an empty area. Dotted travel lines faintly connect the docks of Porto Ressaca to the other locations.",https://drive.google.com/file/d/1Nyci-XmwyNtc359h_Xq5g2ZMOQYvveSS/view?usp=drive_link,Mapa geal do jogo,"Usei imagem que fiz do mapa do jogo como base e o story Spine. Depois refinei a imagem gerada pedindo modifiacações.Prompt para fazer o prompt: Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para a arte das ilhas do jogo em uma visão geral, assim como na figura enviada.",
Suno AI,"A slow, enchanting intro with a breathy flute and gentle steel tongue drums sets a mystic Caribbean tone. Xylophone adds sparkle as hand percussion and marimba enrich the adventure feel. The arrangement expands with bold brass and low drums for epic flair, then softens, returning to a tranquil intro, perfect for looping.",https://drive.google.com/file/d/1vvjW7RNpDfGNy-KBUqsJa0-5nL63oz4w/view?usp=drive_link,Música Tema Principal do jogo,"Original prompt: Caribean inspired instruments, flute, steel tongue drums, xylophone. The music starts slow with the flute and steel tongue drums, then envolve as it was calling for the adventure to come and introduces new instruments. At the end it calms down to be in a state it can be looped again",
Gemini,,,Diagrama,,
