,,,,,
Tabela com Modelos e Prompts utilizados para gerações,,,,,
Modelo,Prompt,Resultado,Personagen/Objeto,Observação,
Gemini 3 Pro,"Com base no story spine do jogo, faça o promtp para usar na SUNOAI para criar uma música frenética 8bits que passe a ideia do jogo.

Story Spine:


Era uma vez... na vibrante e meticulosamente rotineira Nova Iorque, um homem chamado Rex. Ele era um programador corporativo brilhante, mas que vivia no piloto automático, sentindo que o mundo ao seu redor era vazio, frio e perfeitamente previsível.
Todos os dias... Rex pegava o mesmo metrô, caminhava pela mesma avenida movimentada, sentava em sua baia, e escrevia linhas de código para um sistema corporativo, ignorando o crescente sentimento de anestesia e os ""déjà vus"" inexplicáveis.
Mas, um dia... a caminho do trabalho, as pequenas falhas tornaram-se impossíveis de ignorar. Um semáforo piscou em verde digital, o céu rasgou-se revelando cascatas de código-fonte, e Rex enxergou a verdade brutal: seu mundo inteiro era uma simulação prisional de computador, e ele acabara de despertar sua consciência.
Por causa disso... o sistema de segurança alienígena detectou o despertar de Rex como um ""vírus fatal"". Imediatamente, os pedestres ao seu redor e o trânsito de Nova Iorque foram assumidos pelo sistema, transformando-se em assassinos implacáveis para tentar expurgá-lo da simulação.
Por causa disso... Rex foi forçado a lutar por sua sobrevivência usando sua compreensão de código para ""hackear"" a realidade em tempo real, manipulando fragmentos de dados para criar armas digitais e abrir um buraco na segurança da Avenida de Nova Iorque.
Por causa disso... ao vencer a primeira barreira, ele foi ejetado para o ""Refúgio"" (um setor de memória corrompida não monitorado), onde percebeu que precisava libertar outros humanos talentosos presos em diferentes servidores do sistema. Ele invadiu as partições do Parque e da Fábrica de Computadores, enfrentando simulações da natureza corrompida e máquinas mortíferas.
Por causa disso... a cada partição conquistada, Rex encontrava e libertava novos Despertos (novos personagens jogáveis), acumulando conhecimento residual do sistema (metaprogressão) e descobrindo formas de realizar Overrides massivos para lidar com as hordas alienígenas cada vez mais pesadas.
Até que finalmente... o grupo de hackers invadiu a partição raiz: a Simulação Lunar. Neste ambiente restrito, que espelha a verdadeira colônia humana onde seus corpos físicos estão presos, eles enfrentaram o Core da inteligência alienígena, sobrecarregando a Matrix inteira com o peso de seus malwares e dados acumulados.
E desde então... a falsa realidade colapsou em um clarão de tela azul. Rex e a humanidade abriram os olhos no mundo real, dentro das cápsulas da colônia lunar verdadeira, libertos do controle mental e prontos para lutar de verdade pelo seu futuro no espaço.","Para criar uma trilha sonora impactante na SUNOAI que capture essa jornada do Rex, de programador entediado a hacker da realidade, o segredo é focar em termos que misturem o retrô (8-bit) com a urgência do cyberpunk e sons de falha digital (glitch).

Aqui estão duas opções de prompt: uma focada apenas no estilo (Instrumental) e outra com letra para uma música completa.

### Opção 1: Instrumental (Foco na Jogabilidade e Clima Frenético)

Este prompt é ideal para uma música de fundo (BGM) de uma fase de perseguição ou combate intenso.

**Style (Estilo):**

> Frenetic 8-bit chiptune, Fast-paced, Cyberpunk, Glitch-hop, 180 BPM, High energy, Arcade, Bitcrushed, Square waves, Digital overload, Urgent synth leads, Retro gaming action, Data stream aesthetic.

---

### Opção 2: Com Letra (Foco na Narrativa do Story Spine)

No modo ""Custom"" da Suno, use os seguintes campos:

**Style (Estilo):**

> 8-bit Chiptune, Cyberpunk, Fast, Industrial Electronic, Male robotic vocals, Glitchy, High energy, Syncopated, Bit-pop.

**Lyrics (Letra):**

> [Intro: Digital static, high-speed pulse waves]
> [Verse 1]
> Linhas de código, rotina cinzenta
> Metrô parado, a mente não aguenta
> Mas o céu rasgou, verde digital
> Vi a verdade: o mundo é artificial!
> [Pre-Chorus]
> Falha no sistema! (System Error!)
> A avenida acorda pra me deletar
> O código flui, eu vou hackear!
> [Chorus]
> Corra, Rex, o vírus despertou!
> Quebre a Matrix que o alien criou!
> 8-bits de fúria, dados na mão
> Vou causar o erro nesta simulação!
> [Bridge - Fast tempo/Glitchy]
> Refúgio! Fábrica! Partição Raiz!
> Malware humano, o sistema diz:
> ""Delete! Expurgue! Vírus fatal!""
> Mas eu sou o mestre do código final!
> [Climax - Overload sound]
> Overload! Override! Blue Screen of Death!
> [Outro]
> Tela azul... o silêncio chegou.
> Olhos abertos. A Lua acordou.
> (Game Over... Insert Coin to Reality)
> [Fade out with bitcrushed synth]

---

### Dicas para melhores resultados na SUNO:

1. **Metaprogresso no Som:** Se você quiser que a música evolua, use comandos como `[Shift to 16-bit]` ou `[Heavy Industrial Drop]` no meio da letra para simular o Rex ficando mais forte.
2. **O ""Grito"" do Sistema:** Se quiser sons de erro, escreva `[Glitch sound effects]` ou `[System Crash]` entre os versos.
3. **Voz:** Para esse tema, a voz ""Male Robotic"" ou ""Lo-fi vocals"" costuma combinar muito bem com o estilo 8-bit.

Basta copiar e colar esses termos nos campos correspondentes da Suno AI!",Prompt da Trilha sonora,Vazio,
Suno AI,"Frenetic 8-bit chiptune, Fast-paced, Cyberpunk, Glitch-hop, 180 BPM, High energy, Arcade, Bitcrushed, Square waves, Digital overload, Urgent synth leads, Retro gaming action, Data stream aesthetic.",https://drive.google.com/file/d/1vQ12XzjKXAmGWIm8Jygy_vvsNQ1yzIHq/view?usp=drive_link,Trilha Sonora básica,Vazio,
Gemini 3 Pro,"Agora eu preciso de um prompt que mantenha a estética do jogo em 8bits, porém com uma pitada de havy metal, ela será tocada durante os últimos 5 minutos, quando a situação estiver mais complicada o possivel, o jogador cercado por inumeros inimigos, ela precisa ser épica.","Para criar esse clima de ""clímax final"", onde o Rex está cercado e a realidade está colapsando, o estilo ideal é o **Chiptune Metal** (também conhecido como *Nintendocore*). Ele mistura a nostalgia dos 8-bits com a agressividade das guitarras pesadas e bumbos duplos do Heavy Metal.

Aqui estão os prompts otimizados para a SUNOAI:

### Opção 1: Instrumental (Épica e Agressiva)

Ideal para manter o foco total na jogabilidade frenética e na tensão dos últimos minutos.

**Style (Estilo):**

> Epic Chiptune Metal, 8-bit Heavy Metal, 200 BPM, Aggressive double bass drumming, Shredding square-wave guitar solos, Dark cinematic atmosphere, High-energy, Bitcrushed distortion, Boss battle theme, Industrial techno undertones, Heroic but desperate.

---

### Opção 2: Com Letra (O ""Override"" Final)

Esta versão foca na narrativa de que o Rex está sobrecarregando o sistema com tudo o que tem.

**Style (Estilo):**

> Nintendocore, Melodic Death Metal 8-bit, Fast-paced, Powerful male grit vocals, Orchestral chiptune, 190 BPM, Glitchy breakdowns, Intense, Heroic.

**Lyrics (Letra):**

> [Intro: Fast double-kick drums, high-pitched 8-bit arpeggio]
> [Verse 1]
> O Core ruge, a Lua vai tremer
> Milhões de sentinelas, nada a perder!
> Barreiras caem, o código sangra
> Minha vontade é a única engrenagem!
> [Pre-Chorus]
> Perímetro invadido! (Critical Error!)
> Dados corrompidos, força total
> Este é o fim do pesadelo digital!
> [Chorus]
> OVERRIDE! Quebre a corrente!
> Metal e código, mente valente!
> Cercado por sombras, luz de silício
> O fim da mentira é o nosso início!
> [Bridge - Shredding 8-bit Solo / Heavy Guitar Chugs]
> (Hacking... 80%... 90%... 100%!)
> SYSTEM CRASH!
> Blue Screen of Death na face do opressor!
> Sinta o peso do nosso valor!
> [Guitar/Synth Duel - Fast & Chaotic]
> [Final Chorus]
> OVERRIDE! O céu vai cair!
> Último suspiro antes de partir!
> 8-bits de glória, o erro é real
> Adeus simulação, destino final!
> [Outro]
> Executar: LIBERDADE.EXE
> (Explosão sonora de bits e distorção)
> [Final Chord: Long distorted 8-bit note]

---

### Dicas para o ""Grand Finale"" na Suno:

1. **Aumente o BPM:** Use `200 BPM` no prompt de estilo para garantir que a música seja extremamente rápida e passe a sensação de urgência.
2. **Use colchetes de comando:** Comandos como `[Shredding Guitar Solo]` ou `[Heavy Breakdown]` ajudam a Suno a entender que a música precisa ter variações de intensidade.
3. **Voz Gritada:** No campo de estilo, termos como `Grit vocals` ou `Aggressive vocals` dão aquele peso de Heavy Metal que contrasta bem com os bips agudos do 8-bit.
4. **Final Dramático:** Se a música acabar antes do tempo, você pode usar o botão ""Extend"" e adicionar o comando `[Grand Finale]` com um som de explosão bitcrushed.

Boa sorte na batalha final da Simulação Lunar!",Prompt da Trilha sonora,Vazio,
Suno AI,"Epic Chiptune Metal, 8-bit Heavy Metal, 200 BPM, Aggressive double bass drumming, Shredding square-wave guitar solos, Dark cinematic atmosphere, High-energy, Bitcrushed distortion, Boss battle theme, Industrial techno undertones, Heroic but desperate.",,Trilha Sonora Boss,Vazio,
Codex 5.5,"Agora, com base no estilo artistico pixel art 2d e na história do jogo, faça o prompt textual para que eu gere o sprite do personagem Rex","Pixel art 2D sprite of Rex, the main character of a retro hacking roguelike game. Rex is a brilliant corporate programmer from 1990s New York who has just awakened inside a computer simulation. He wears slightly messy corporate office clothes: white shirt, loosened dark tie, rolled-up sleeves, dark pants, worn office shoes, and a subtle ID badge. His expression is alert, tired, and determined, like someone who has realized reality is fake and is ready to fight back.

Style: 16-bit / 32-bit pixel art, dark cyberpunk terminal aesthetic, green monochrome computer glow, 1990s hacker atmosphere, inspired by old CRT monitors and DOS terminals. Add small details such as glowing green code fragments around him, pixelated glitch highlights on clothing edges, and a faint neon green reflection on his face and hands.

Game sprite requirements: full body character sprite, standing idle pose, facing slightly downward/front at a 3/4 top-down angle suitable for a Vampire Survivors-like game. Clear readable silhouette at small size, compact proportions, no background, transparent background, centered character, clean pixel edges, limited color palette, high contrast.

Canvas: 64x64 pixel sprite, transparent background.",Prompt Sprite Sheet Rex,Vazio,
Codex 5.5,"Create a 16-bit pixel art character sprite for Rex, the main character of a 2D roguelike shoot 'em up game.

Rex is a corporate programmer from 1990s New York. He should be shown in a front-facing idle pose, looking directly toward the screen/camera. Full body visible. Neutral but tense stance, feet slightly apart, arms relaxed near the body, as if ready to move.

Character design:
- Adult male, around 30 years old
- Slim/average build
- Tired but focused expression
- Short dark messy hair
- White long-sleeve office shirt with sleeves rolled up
- Loosened dark tie
- Dark gray or black office pants
- Simple dark shoes
- Small corporate ID badge clipped to the shirt or belt
- Slightly disheveled look, like he just escaped a normal office day

Art style:
- Strict 16-bit pixel art
- SNES / Sega Genesis era proportions and shading
- Limited color palette
- Crisp hard pixel edges
- No smooth gradients
- No painterly effects
- No green glow on the character
- No modern high-resolution illustration style

Sprite requirements:
- Front-facing idle sprite
- Full body
- Transparent background
- Centered on canvas
- Readable silhouette at small size
- Designed for a top-down / slight front-view action game
- 64x64 pixel canvas",https://drive.google.com/file/d/1ir8PR8wv4Pl1KO6is-1IfCrWNTAWHbIr/view?usp=drive_link,Sprite Sheet Rex,"O prompt precisa ser mais específico, em ser uma arte 16bit, e sem o glow verde no personagem, vamos nos cooncentrar em fazer a arte para ele de frente para a tela. Vai ser o estado idle do personagem.",
Flow Studio Nano Banana,"Create a 16-bit pixel art sprite sheet with 3 animation frames of Rex walking to the right.

Use the provided reference image as the exact character design reference. Keep the same character identity: tired corporate programmer, messy dark brown hair, pale tired face, white rolled-sleeve office shirt, loosened dark blue tie, dark gray pants, black shoes, ID badge hanging from the belt. Preserve the same colors, proportions, hairstyle, clothing details, and serious tired expression.

Animation:
- Rex is walking to the right side of the screen.
- Side-view / right-facing walking animation.
- Create exactly 3 separate frames in one horizontal sprite sheet.
- Frame 1: right foot forward, left arm forward, body slightly shifted.
- Frame 2: passing/neutral step, both feet closer under the body, arms near center.
- Frame 3: left foot forward, right arm forward, opposite stride.
- The motion should look like a simple readable 16-bit walking cycle.
- Keep head height and body size consistent across all frames.
- Keep feet aligned to the same ground baseline.
- No camera angle change between frames.
- No change in outfit or face between frames.

Art style:
- Strict 16-bit pixel art.
- Crisp hard pixel edges.
- Limited color palette matching the reference.
- Clean black/dark outline like the reference image.
- SNES / Sega Genesis era sprite style.
- No green glow.
- No cyber aura.
- No lighting effects.
- No smooth gradients.
- No painterly rendering.

Sprite sheet requirements:
- 3 frames arranged horizontally in a single row.
- Each frame should fit inside a 64x64 pixel cell.
- Total canvas: 192x64 pixels.
- Transparent background.
- Center Rex inside each 64x64 frame.
- Full body visible in each frame.
- No extra objects, no weapons, no shadows, no background.
- Pixel-perfect alignment, suitable for importing into a game engine as a walking-right animation.",https://drive.google.com/file/d/10JKj9hhwwGj2x-D9a-K1yqzN5Hb4T_Lv/view?usp=drive_link,Sprite Sheet Rex,"Perfeito, agora faça o prompt para gerar três imagens do rex andando para a direita, a ideia é usar essa imagem para compor o sprite sheet do personagem. Estou enviando junto a arte do personagem que foi gerada no prompt anterior",
Codex 5.5,Agora faça o prompt seguindo o mesmo estilo artistico em 16bit para o inimigo pedestre corrompido,"16-bit pixel art sprite of a corrupted pedestrian enemy for a 2D top-down roguelike shoot 'em up game, front-facing idle pose, full body visible, transparent background.

The character is an ordinary 1990s New York pedestrian whose body has been taken over by a digital alien security system. He wears casual city clothes: dark jacket, simple shirt, jeans, worn shoes. His posture is slightly hunched and unnatural, like a person being puppeteered by corrupted code. Expression blank and hostile, with tired human features partially overridden by subtle digital corruption.

Art style must match a 16-bit pixel art game sprite: clean pixel clusters, limited color palette, crisp edges, no anti-aliasing, no painterly shading, no realistic rendering, no 3D. Use readable silhouette and simple animation-friendly shapes. Front view, centered composition, neutral idle stance.

Visual corruption details: small glitch-like breaks in clothing edges, a few dark green pixel artifacts around the body, one eye subtly replaced by a tiny terminal-green square/pixel pattern, faint black and green corrupted data marks on skin and clothes. Keep the green effects minimal and integrated into the sprite, not glowing strongly.

Character should feel like a low-level enemy from a retro computer simulation: human enough to recognize as a pedestrian, but clearly infected by the system. Suitable for slicing into a sprite sheet later. No weapons, no background, no shadow, no text.",Sprite Sheet Pedestre Corrompido,Vazio,
Flow Studio Nano Banana,"16-bit pixel art sprite of a corrupted pedestrian enemy for a 2D top-down roguelike shoot 'em up game, front-facing idle pose, full body visible, transparent background.

The character is an ordinary 1990s New York pedestrian whose body has been taken over by a digital alien security system. He wears casual city clothes: dark jacket, simple shirt, jeans, worn shoes. His posture is slightly hunched and unnatural, like a person being puppeteered by corrupted code. Expression blank and hostile, with tired human features partially overridden by subtle digital corruption.

Art style must match a 16-bit pixel art game sprite: clean pixel clusters, limited color palette, crisp edges, no anti-aliasing, no painterly shading, no realistic rendering, no 3D. Use readable silhouette and simple animation-friendly shapes. Front view, centered composition, neutral idle stance.

Visual corruption details: small glitch-like breaks in clothing edges, a few dark green pixel artifacts around the body, one eye subtly replaced by a tiny terminal-green square/pixel pattern, faint black and green corrupted data marks on skin and clothes. Keep the green effects minimal and integrated into the sprite, not glowing strongly.

Character should feel like a low-level enemy from a retro computer simulation: human enough to recognize as a pedestrian, but clearly infected by the system. Suitable for slicing into a sprite sheet later. No weapons, no background, no shadow, no text.",https://drive.google.com/file/d/1ggdyk8FFob8gcpJLbJvuPJkcHuJiSrhS/view?usp=drive_link,Sprite Sheet Pedestre Corrompido,Agora faça o prompt para a animação desse inimigo andando para a direita,
Codex 5.5,Agora faça o prompt para a animação desse inimigo andando para a direita,"Create a 16-bit pixel art sprite sheet for a corrupted pedestrian enemy walking to the right, matching the same character design and style from the previous front-facing idle sprite.

Sprite sheet with 3 separate walking frames arranged horizontally in one row, transparent background, equal spacing, full body visible in every frame.

Character: ordinary 1990s New York pedestrian corrupted by a digital alien security system. Dark jacket, simple shirt, jeans, worn shoes, slightly hunched posture, blank hostile expression, subtle terminal-green corruption marks, one eye partially replaced by a small green pixel pattern, minor glitch-like breaks on clothing edges. Keep the corruption subtle, not a strong glow.

Animation: side-view walk cycle facing right. Frame 1: right foot forward, left arm forward, body slightly leaning. Frame 2: passing pose, feet closer together, body centered. Frame 3: left foot forward, right arm forward, slight shoulder shift. Keep movement readable and loop-friendly.

Art style: 16-bit pixel art, crisp square pixels, limited palette, clean silhouette, no anti-aliasing, no painterly shading, no 3D rendering, no blur. The sprite should be suitable for a 2D top-down roguelike shoot 'em up prototype inspired by retro computer terminals and 1990s simulation horror.

No background, no shadow, no text, no UI elements. Horizontal sprite sheet only, 3 frames.",Sprite Sheet Pedestre Corrompido,Vazio,
